query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
работа слесарем по ремонту подвижного состава вакансии,NaN,слесарь,NaN,NaN,0
работа слесарем свежие вакансии,NaN,слесарь,NaN,NaN,0
работа слесарь по оборудованию,NaN,слесарь,NaN,NaN,0
работа слесарь по ремонту вахта,['вахта'],слесарь,NaN,NaN,0
работа слесаря газовой котельной,NaN,слесарь,NaN,NaN,0
работа слесаря котельного оборудования,NaN,слесарь,NaN,NaN,0
работа слесаря ремонтника 4 разряда,NaN,слесарь,NaN,NaN,0
работа стилистом без опыта,NaN,стилист,['без опыта'],NaN,0
работа столяров,NaN,столяр,NaN,NaN,0
работа сторожем в детском саду дворником,NaN,сторож,NaN,NaN,0
работа сторожем для пенсионеров,NaN,сторож,['для пенсионеров'],NaN,0
работа строительство дорог,NaN,NaN,NaN,NaN,1
работа токарем вахта от прямых работодателей,['вахта'],токарь,NaN,NaN,0
работа токарь 3 разряда,NaN,токарь,NaN,NaN,0
работа токарь карусельщик,NaN,токарь,NaN,NaN,0
работа токаря 6 разряда,NaN,токарь,NaN,NaN,0
работа уборщица свежие вакансии,NaN,"уборщик, горничная",NaN,NaN,0
работа установка камер видеонаблюдения,NaN,установщик,NaN,NaN,0
работа установка межкомнатных дверей,NaN,установщик,NaN,NaN,0
работа ученик мастера по ремонту компьютеров,NaN,NaN,NaN,NaN,1
работа учителем русского языка,NaN,учитель,NaN,NaN,0
работа фитнес,NaN,NaN,NaN,NaN,1
работа фитнес тренером,NaN,тренер,NaN,NaN,0
работа фитнес тренером без опыта,NaN,тренер,['без опыта'],NaN,0
работа швея с проживанием,NaN,швея,NaN,с проживанием,0
работа экспедитором грузчик на доставку,NaN,экспедитор,NaN,NaN,0
работа электрик в больнице,NaN,электрик,NaN,NaN,0
работа электриком вахта с проживанием свежие,['вахта'],электрик,NaN,с проживанием,0
работа электриком пенсионерам,NaN,электрик,['для пенсионеров'],NaN,0
работа электриком с проживанием,NaN,электрик,NaN,с проживанием,0
работа электромонтер по обслуживанию электрооборудования,NaN,электромонтер,NaN,NaN,0
работа электромонтер поиск,NaN,электромонтер,NaN,NaN,0
работа электромонтером вахта,['вахта'],электромонтер,NaN,NaN,0
работа юриста без образования,NaN,юрист,NaN,NaN,0
работа юриста в суде,NaN,юрист,NaN,NaN,0
работа юристом нн,NaN,юрист,NaN,NaN,0
работу фотографом в газете,NaN,фотограф,NaN,NaN,0
работы депиляции,NaN,NaN,NaN,NaN,1
рабочий по вывозу мусора вакансии,NaN,рабочий,NaN,NaN,0
разнорабочий на день,['на неполный день'],рабочий,NaN,NaN,0
реаниматолог вакансии,NaN,NaN,NaN,NaN,1
редактор текста работа на дому вакансии,['на дому'],редактор,NaN,NaN,0
рекламный фотограф вакансии,NaN,фотограф,NaN,NaN,0
ремонт бытовой техники вакансии,NaN,зоотехник,NaN,NaN,0
рерайтинг копирайтинг работа с текстами,NaN,копирайтер,NaN,NaN,0
ржд вакансии медсестры,NaN,"медсестра, медбрат",NaN,NaN,0
ржд депо вакансии,NaN,NaN,NaN,NaN,1
руководитель отдела расчета заработной платы вакансии,NaN,"руководитель, начальник",NaN,NaN,0
садовник работа вакансии,NaN,садовник,NaN,NaN,0
сантехник водитель вакансии,NaN,сантехник,NaN,NaN,0
сантехник монтажник вакансии от прямых работодателей,NaN,сантехник,NaN,NaN,0
сборщик кухонной мебели вакансии,NaN,сборщик,NaN,NaN,0
сборщик мебели икеа вакансии,NaN,сборщик,NaN,NaN,0
сварщик 2 2 вакансии,NaN,сварщик,NaN,NaN,0
сварщик аргонщик 6 разряда ищет работу вахтой,['вахта'],сварщик,NaN,NaN,0
